job_id,topology,p_ws,gamma,epsilon,init_dist,run,n_clusters,polarised,std_opinion,mean_cluster_size,max_cluster_frac,convergence_step
123,ws,0.0,0.0,0.2,uniform,23,5,True,0.2692013731113174,200.0,0.276,1000
124,ws,0.0,0.0,0.2,uniform,24,5,True,0.2650193767619312,200.0,0.243,1000
125,ws,0.0,0.0,0.2,uniform,25,5,True,0.2728477159184327,200.0,0.234,1000
126,ws,0.0,0.0,0.2,uniform,26,5,True,0.2631417952079633,200.0,0.318,1000
127,ws,0.0,0.0,0.2,uniform,27,5,True,0.2736823018281997,200.0,0.231,1000
128,ws,0.0,0.0,0.2,uniform,28,5,True,0.27386918530950577,200.0,0.234,1000
129,ws,0.0,0.0,0.2,uniform,29,5,True,0.27421901524817566,200.0,0.294,1000
130,ws,0.0,0.0,0.2,uniform,30,5,True,0.27953734750828324,200.0,0.241,1000
131,ws,0.0,0.0,0.2,uniform,31,5,True,0.2637622543162933,200.0,0.308,1000
132,ws,0.0,0.0,0.2,uniform,32,5,True,0.27642362696020367,200.0,0.256,1000
133,ws,0.0,0.0,0.2,uniform,33,5,True,0.2777239786195757,200.0,0.305,1000
134,ws,0.0,0.0,0.2,uniform,34,5,True,0.2744272511644052,200.0,0.215,1000
135,ws,0.0,0.0,0.2,uniform,35,5,True,0.2718381402421654,200.0,0.296,1000
136,ws,0.0,0.0,0.2,uniform,36,5,True,0.2646777836403444,200.0,0.254,1000
137,ws,0.0,0.0,0.2,uniform,37,5,True,0.2654520475900206,200.0,0.28,1000
138,ws,0.0,0.0,0.2,uniform,38,5,True,0.2708200446137394,200.0,0.266,1000
139,ws,0.0,0.0,0.2,uniform,39,5,True,0.27089474306375727,200.0,0.266,1000
140,ws,0.0,0.0,0.2,uniform,40,5,True,0.27083266387955235,200.0,0.232,1000
141,ws,0.0,0.0,0.2,uniform,41,5,True,0.26579148319006307,200.0,0.254,1000
142,ws,0.0,0.0,0.2,uniform,42,5,True,0.2733709055104787,200.0,0.256,1000
143,ws,0.0,0.0,0.2,uniform,43,5,True,0.2767726476956918,200.0,0.234,1000
144,ws,0.0,0.0,0.2,uniform,44,5,True,0.2799585473737969,200.0,0.247,1000
145,ws,0.0,0.0,0.2,uniform,45,5,True,0.2857720268381607,200.0,0.242,1000
146,ws,0.0,0.0,0.2,uniform,46,5,True,0.26914474566400676,200.0,0.319,1000
147,ws,0.0,0.0,0.2,uniform,47,5,True,0.2755386068997479,200.0,0.231,1000
148,ws,0.0,0.0,0.2,uniform,48,5,True,0.26572771520927646,200.0,0.237,1000
149,ws,0.0,0.0,0.2,uniform,49,5,True,0.27939879980910365,200.0,0.27,1000
150,ws,0.0,0.0,0.2,bimodal,0,2,True,0.3001050254669392,500.0,0.5,1000
151,ws,0.0,0.0,0.2,bimodal,1,3,True,0.30151895202722095,333.3333333333333,0.5,1000
152,ws,0.0,0.0,0.2,bimodal,2,2,True,0.3004257636646357,500.0,0.5,1000
153,ws,0.0,0.0,0.2,bimodal,3,2,True,0.3035418427108115,500.0,0.5,1000
154,ws,0.0,0.0,0.2,bimodal,4,2,True,0.30140161250726444,500.0,0.5,1000
155,ws,0.0,0.0,0.2,bimodal,5,2,True,0.30255855741477455,500.0,0.5,1000
156,ws,0.0,0.0,0.2,bimodal,6,3,True,0.3018261575262232,333.3333333333333,0.5,1000
157,ws,0.0,0.0,0.2,bimodal,7,2,True,0.2988673999655968,500.0,0.5,1000
158,ws,0.0,0.0,0.2,bimodal,8,2,True,0.30067281183235006,500.0,0.5,1000
159,ws,0.0,0.0,0.2,bimodal,9,3,True,0.29813437535043913,333.3333333333333,0.5,1000
160,ws,0.0,0.0,0.2,bimodal,10,2,True,0.2972766627214309,500.0,0.5,1000
161,ws,0.0,0.0,0.2,bimodal,11,2,True,0.30142885215589477,500.0,0.5,1000
162,ws,0.0,0.0,0.2,bimodal,12,2,True,0.2992967271043738,500.0,0.5,1000
163,ws,0.0,0.0,0.2,bimodal,13,3,True,0.30394965042818983,333.3333333333333,0.5,1000
164,ws,0.0,0.0,0.2,bimodal,14,2,True,0.30013312749450477,500.0,0.5,1000
165,ws,0.0,0.0,0.2,bimodal,15,2,True,0.30021024162123344,500.0,0.5,1000
166,ws,0.0,0.0,0.2,bimodal,16,2,True,0.30100380770036866,500.0,0.5,1000
167,ws,0.0,0.0,0.2,bimodal,17,2,True,0.2988771485076733,500.0,0.5,1000
168,ws,0.0,0.0,0.2,bimodal,18,3,True,0.3033701383881992,333.3333333333333,0.5,1000
169,ws,0.0,0.0,0.2,bimodal,19,2,True,0.29886539062751677,500.0,0.5,1000
170,ws,0.0,0.0,0.2,bimodal,20,3,True,0.2991850942396698,333.3333333333333,0.5,1000
171,ws,0.0,0.0,0.2,bimodal,21,2,True,0.3034130776844578,500.0,0.5,1000
172,ws,0.0,0.0,0.2,bimodal,22,2,True,0.2996310232220789,500.0,0.5,1000
173,ws,0.0,0.0,0.2,bimodal,23,2,True,0.3034123013884784,500.0,0.5,1000
174,ws,0.0,0.0,0.2,bimodal,24,2,True,0.30005061757292795,500.0,0.5,1000
175,ws,0.0,0.0,0.2,bimodal,25,2,True,0.30194705349219997,500.0,0.5,1000
176,ws,0.0,0.0,0.2,bimodal,26,2,True,0.30333307486353606,500.0,0.5,1000
177,ws,0.0,0.0,0.2,bimodal,27,2,True,0.29798703195674964,500.0,0.5,1000
178,ws,0.0,0.0,0.2,bimodal,28,2,True,0.300571901010873,500.0,0.5,1000
179,ws,0.0,0.0,0.2,bimodal,29,2,True,0.29825719663393335,500.0,0.5,1000
180,ws,0.0,0.0,0.2,bimodal,30,3,True,0.3031966549166764,333.3333333333333,0.5,1000
181,ws,0.0,0.0,0.2,bimodal,31,2,True,0.30056664261613747,500.0,0.5,1000
182,ws,0.0,0.0,0.2,bimodal,32,3,True,0.3006949534479381,333.3333333333333,0.5,1000
183,ws,0.0,0.0,0.2,bimodal,33,3,True,0.3020880468444788,333.3333333333333,0.5,1000
184,ws,0.0,0.0,0.2,bimodal,34,2,True,0.3017426451154913,500.0,0.5,1000
185,ws,0.0,0.0,0.2,bimodal,35,3,True,0.30436093626471766,333.3333333333333,0.5,1000
186,ws,0.0,0.0,0.2,bimodal,36,2,True,0.3002413438844164,500.0,0.5,1000
187,ws,0.0,0.0,0.2,bimodal,37,2,True,0.2987948506519717,500.0,0.5,1000
188,ws,0.0,0.0,0.2,bimodal,38,2,True,0.3042573867642914,500.0,0.5,1000
